hospital_id,NO_FANTASIA,NO_LOGRADOURO,Unnamed: 3,EMPRESA_RESP_PSA,EMPRESA_RESP_PSI,EMPRESA_RESP_UTIA,EMPRESA_RESP_UTIPED,EMPRESA_RESP_ANESTESIA,EMPRESA_RESP_UIA,EMPRESA_RESP_UIP,NO_BAIRRO,NU_ENDERECO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE
14,HOSPITAL DO RIM E HIPERTENSAO,RUA BORGES LAGOA,,,,,,,,,VILA CLEMENTINO,960,4038002,(11)50878000,-23.548,-46.636
15,HOSPITAL E PRONTO SOCORRO PORTINARI,AVENIDA CANDIDO PORTINARI,,,,,,,,,VILA JAGUARA,455,5114000,,-235.083.164,-467.532.947
16,HOSPITAL JAPONES SANTA CRUZ,R SANTA CRUZ,,,,,,,,,VILA MARIANA,398,4122000,(11)50802000,-23.548,-46.636
17,CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO,RUA SANTA CRUZ,,,,,,,,,VILA MARIANA,81,4121000,(11) 5087-9911,-23.548,-46.636
18,HOSP DA STA CASA DE STO AMARO,RUA ISABEL SCHMIDT,,,,,,,,,SANTO AMARO,59,4743030,(11)55258700,-23.548,-46.636
19,HOSPITAL SIRIO LIBANES UNIDADE ITAIM,JOAQUIM FLORIANO,,,,,,,,,ITAIM BIBI,533,4534011,11 33943801,-23.584.865,-46.675.070
20,HOSP MUN PROF DR WALDOMIRO DE PAULA,RUA AUGUSTO CARLOS BAUMANN,,,,,,,,,ITAQUERA,1074,8210590,(11)33948991,-23.531.008.907.906.000,-464.448.818.564.415
21,HOSPITAL ESPORTE E SAUDE BR SURGERY,FAGUNDES FILHO,,,,,,,,,VILA MONTE ALEGRE,475,4304010,11 4369-4300,-236.271.808,-466.366.057
22,HOSP E MAT STO EXPEDITO,RUA TOMOICHI SHIMIZU,,,,,,,,,ITAQUERA,201,8260140,(11)65217799,-23.548,-46.636
23,HOSPITAL CENTRAL SUL,ESTRADA DE ITAPECERICA,,,,,,,,,CAPAO REDONDO,4659,5858001,(11) 5510-7780,-23.660.140.220.298.100,-4.677.275.776.863.090
24,HOSPITAL DOM PEDRO,AV ALCANTARA MACHADO,,,,,,,,,BRAS,60,3102000,32.780.010,-23.548,-46.636
25,PRO MATRE PAULISTA,SAO CARLOS DO PINHAL,,,,,,,,,BELA VISTA,139,1333001,11 50806049,-2.356.576,-4.664.952
26,HOSPITAL BP,MAEST CARDIM,,,,,,,,,LIBERDADE,769,1323900,,-23.548,-46.636
27,HOSPITAL ESTADUAL COVID 19 BARRADAS,AV ALMIRANTE DELAMARE,,,,,,,,,CIDADE NOVA HELIOPOL,1534,4230000,(11) 2065-1550,-23.548,-46.636
28,HOSPITAL SEPACO,VERGUEIRO,,,,,,,,,VILA MARIANA,4210,4102900,,-23.595.093.945.691.100,-46.627.365.946.769.700
29,HOSPITAL PREVINA,RAIMUNDO PEREIRA DE MAGALHAES,,,,,,,,,JARDIM MARILU,12367,2989095,11 39445400,-234.346.964,-467.228.099
30,HOSPITAL MUNICIPAL GUARAPIRANGA,ESTRADA DA RIVIERA,,,,,,,,,RIVIERA PAULISTA,4742,4916000,(11) 3113-9592,-23.705.922,-46.741.949
31,CLINICAS YUNA,RUA ALVES GUIMARAES,,,,,,,,,PINHEIROS,429,5410000,,-235.585.559,-466.763.459
32,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO,AVENIDA SANTA CATARINA,,,,,,,,,VILA MASCOTE,2785,4378200,,-23.548,-46.636
33,API ASSISTENCIA PSIQUIATRICA INTEGRADA,AV INDIANOPOLIS,,,,,,,,,PLANALTO PAULISTA,1903,4063003,(11) 55898844,-23.548,-46.636
34,HOSPITAL CANTAREIRA,AV NOVA CANTAREIRA,,,,,,,,,TUCURUVI,3050,2340000,(11)22033222,-23.548,-46.636
35,HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP,RUA FRANCISCO OCTAVIO PACCA,,,,,,,,,PARQUE DAS NACOES,180,4822030,(11) 3544-9444 R:322,-23.548,-46.636
36,CENTRO DE REFERENCIA DA SAUDE DA MULHER,AV RIO BRANCO,,,,,,,,,CAMPOS ELISEOS,1080,1206001,(11) 3367-3900,-23.548,-46.636
37,HOSPITAL VILLA LOBOS,RUA LITUANIA,,,,,,,,,MOOCA,260,3184020,(11) 2076-7005,-235.632.883,-46.589.975.305.883.300
38,HOSP MUN INFANTIL MENINO JESUS,RUA DOS INGLESES,,,,,,,,,BELA VISTA,258,1329000,(11)30160500,-235.599.861,-466.468.609
39,HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO,ALAMEDA RODRIGO DE BRUM,,,,,,,,,VILA PARANAGUA,1989,3807230,(11)33948030,-23.548,-46.636
40,HOSP MONUMENTO CEHM,RUA LIMA E SILVA,,,,,,,,,IPIRANGA,985,4215020,(11)2915 2277,-23.548,-46.636
41,HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI,RUA LUCAS DE LEYDE,,,,,,,,,VILA ANTONIO,257,5376010,(11)33949330,-23.578.000,-46.765.000
42,HOSPITAL LEFORTE LIBERDADE,RUA GALVAO BUENO,,,,,,,,,LIBERDADE,257,1506000,(11)33452000,-23.548,-46.636
43,HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA,DEPUTADO EMILIO CARLOS,,,,,,,,,VILA NOVA CACHOEIRIN,3100,2721000,(1139861234 / 1085,-2.348.012,-4.667.261
44,HOSP MUN V NHOCUNE ALEXANDRE ZAIO,ALVES MALDONADO,,,,,,,,,VILA NHOCUNE,S/N,3558050,,-23.542,-465.023
45,CASA DE SAUDE DE SAO JOAO DE DEUS,EST TURISTICA DO JARAGUA,,,,,,,,,PIRITUBA,2365,5161000,(11)39041993,-23.548,-46.636
46,ASSOC CRUZ VERDE,RUA DR DIOGO DE FARIA,,,,,,,,,VILA CLEMENTINO,695,4037002,(11)55797335,-23.548,-46.636
47,HOSP MUN M BOI MIRIM,DO M BOI MIRIM,,,,,,,,,JARDIM ANGELA,5203,4948970,11 58322554,"-23,533394","-46,639973"
48,HOSPITAL INGLES,RUA SILVIA,,,,,,,,,BELA VISTA,193,1331010,11-32849496,-23.548,-46.636
49,HOSPITAL DIA SAO MATEUS DR HENRIQUE CARLOS GONCALVES,RUA SENADOR MAYNARDE GOMES,,,,,,,,,JD TIETE,S/N,3947030,(11)20175530,-235.872.921.222.878,-4.649.209.141.731.260
50,CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO,RUA DOM JOSE MAURICIO,,,,,,,,,CARANDIRU,15,2028000,(11) 2221-2287,-23.548,-46.636
51,HOSPITAL DIA SEPACO,RUA PEIXOTO GOMIDE,,,,,,,,,BELA VISTA,515,1409001,,-235.584.721,-466.555.034
52,CLINICA ESPEC RENAITRE,RUA JOSE PEREIRA CARDOSO,,,,,,,,,SAO MIGUEL PAULISTA,80,8011310,(11)69567379,-23.548,-46.636
53,HOSPITAL E MATERNIDADE VITORIA,AVENIDA VEREADOR ABEL FERREIRA,,,,,,,,,JARDIM ANALIA FRANCO,S/N,3340000,(11) 3581-1100,-235.580.661,-465.690.743
54,HOSP MUN DR CARMINO CARICCHIO,AV CELSO GARCIA,,,,,,,,,TATUAPE,4815,3063000,(11) 33947001,-23.548,-46.636
55,HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA,FRANCISCO DE PAULA QUINTANILHA RIBEIRO,,,,,,,,,JABAQUARA,860,4330902,,-236.536.386,-466.450.463
56,FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP,RUA DR OVIDIO PIRES DE CAMPOS,,,,,,,,,CERQUEIRA CESAR,785,5403000,(11)3087-5456,-23.558.007.796.770.500,-4.667.438.507.080.070
57,HOSP MUN CARMEN PRUDENTE,AV DOS METALURGICOS,,,,,,,,,CIDADE TIRADENTES,1797,8471000,,-23.548,-46.636
58,HOSP MUN IGNACIO PROENCA DE GOUVEA,JUVENTUS,,,,,,,,,PARQUE DA MOOCA,562,3124020,1151780000,-23.571.696.917.589.400,-465.900.993.347.168
59,HOSPITAL DA FACE,RUA IZONZO,,,,,,,,,SACOMA,155,4249000,,-23.548,-46.636
60,HOSPITAL DA LUZ 113,RUA AZEVEDO DE MACEDO,,,,,,,,,JARDIM ZAIRA,113,4013060,(11) 2117-6000,-23.548,-46.636
61,BP MIRANTE,RUA MARTINIANO DE CARVALHO,,,,,,,,,BELA VISTA,965,1321001,,-23.548,-46.636
62,HOSPITAL INFANTIL SABARA,AVENIDA ANGELICA,,,,,,,,,HIGIENOPOLIS,1987,1227200,11-31552800,-23.549.830.030.145.700,-4.665.936.470.031.730
63,INSTITUTO DO CANCER DO ESTADO DE SAO PAULO,AV DR ARNALDO,,,,,,,,,CERQUEIRA CESAR,251,1246000,38932000,-23.548,-46.636
64,HOSP MUN J IVA BENEDITO MONTENEGRO,ANTONIO LAZARO,,,,,,,,,JARDIM IVA,226,3921080,11 51782762,-23.588.040.613.935.200,-46.514.318.481.910.400
65,HOSPITAL MORIAH,MOACI,,,,,,,,,PLANALTO PAULISTA,974,4083002,11 50807800,-2.361.505.545,-4.666.024.016.479.070
66,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,AVENIDA DR ENEAS DE CARVALHO AGUIAR,,,,,,,,,CERQUEIRA CESAR,44,5403000,(11) 2661-5000,-23.548,-46.636
67,INSTITUTO DE INFECTOLOGIA EMILIO RIBAS,DR ARNALDO,,,,,,,,,SUMARE,165,1246900,,-23.555.785.146.876.300,-4.666.719.675.064.080
68,INST CEMA DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA,RUA PASCOAL MOREIRA,,,,,,,,,MOOCA,450,3117000,,-23.548,-46.636
69,CENTRO INTEGR DE ASS E SAUDE NOSSA SENHORA DE FATIMA,JORNALISTA PAULO ZINGG,,,,,,,,,PIRITUBA,1078,5157030,(11)3572-9585,-2.348.661,-4.676.304
70,HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO,AV MINISTRO PETRONIO PORTELA,,,,,,,,,JARDIM IRACEMA,1642,2802120,(11) 3976-9911,-23.548,-46.636
71,CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP,AVENIDA MIGUEL STEFANO,,,,,,,,,AGUA FUNDA,3030,4301002,(11) 5077-7893,-23.548,-46.636
72,HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP,NAPOLEAO DE BARROS,,,,,,,,,VL CLEMENTINA,715,4024002,,-23.548,-46.636
73,UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP,AVENIDA NAZARE,,,,,,,,,IPIRANGA,28,4262000,(11) 2067-7799,-23.548,-46.636
74,HOSPITAL SAN GENNARO,PAES DE BARROS,,,,,,,,,MOOCA,1327,3115020,,-2.356.538.111.937.600,-46.594.621.539.115.900
75,HOSP STA MARCELINA SAO PAULO,RUA SANTA MARCELINA,,,,,,,,,ITAQUERA,177,8270070,(11)2070-6293,-23.548,-46.636
76,HOSP DA AERONAUTICA DE SPHASP,OLAVO FONTOURA,,,,,,,,,SANTANA,1400,2012021,,-2.351.384,-4.664.489
77,HOSP MUN CAPELA DO SOCORRO,RUA CASSIO DE CAMPOS NOGUEIRA,,,,,,,,,JARDIM DAS IMBUIAS,2031,4829310,55271060,-23.730.753,-46.713.639
78,HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,RUA PEDRO DE TOLEDO,,,,,,,,,VILA CLEMENTINO,1800,4029000,(11) 4573-8000,-23.548,-46.636
79,HOSP DE OLHOS DE SAO PAULO,AVN CANTAREIRA,,,,,,,,,SANTANA,126,2330000,(11)69507330,-23.548,-46.636
80,HOSPITAL MONTEMAGNO,AVENIDA MONTEMAGNO,,,,,,,,,VILA FORMOSA,241,3371000,11 20764000,-23.548,-46.636
81,HOSPITAL E MATERNIDADE SALVALUS,RUA BRESSER,,,,,,,,,BRAS,1954,3161160,26622000,-235.482.653,-466.024.697
82,HOSP SACRECOEUR,RUA ANTONIO CARLOS,,,,,,,,,CONSOLACAO,122,1309010,11 31709310,-23.548,-46.636
83,HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU,PRACA CHARLES MILLER,,,,,,,,,PACAEMBU,0,1234010,,-23.557.348,-46.656.227
84,COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA,RUA FAUSTOLO,,,,,,,,,LAPA,1633,5041001,,-23.548,-46.636
85,HOSPITAL SAINT PATRICK,AV CANDIDO PORTINARI,,,,,,,,,VILA JAGUARA,616,5114000,,-235.083.469,-467.551.251
86,SAO LUIZ MATERNIDADE,RUA HELENA,,,,,,,,,VILA OLIMPIA,29,4552050,(11) 2121-1335,-235.312.499,-468.341.173
87,COMPLEXO HOSPITALAR SANTO EXPEDITO,RUA TOMOICHI SHIMIZU,,,,,,,,,FAZENDA CAGUACU IT,201,8260140,,-23.548,-46.636
88,CASA DA CRIANCA BETINHO,RUA VACANGA,,,,,,,,,VIL CARRAO,300,3433020,(11)67817366,-23.548,-46.636
89,HOSPITAL VITAL BRAZIL SAO PAULO,AV VITAL BRAZIL,,,,,,,,,BUTANTA,1500,5503900,(11)37267962,-23.548,-46.636
90,HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO,AV DEPUTADO EMILIO CARLOS,,,,,,,,,VILA NOVA CACHOEIRIN,3000,2720200,(11) 3859-4822,-23.548,-46.636
91,HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO,RUA MANOEL FRANCA DOS SANTOS,,,,,,,,,JARDIM SAPOPEMBA,174,3975130,(11) 2014-6000,-23.548,-46.636
92,HOSPITAL LOCAL DE SAPOPEMBA,RUA IAMACARU,,,,,,,,,PARQUE SANTA MADALEN,45,3982060,(11)20247510,-23.548,-46.636
93,HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO,AV MARECHAL TITO,,,,,,,,,ITAIM PAULISTA,6035,8115100,(11) 2563-6302,-23.548,-46.636
94,HOSPITAL E MATERNIDADE SAO MIGUEL,RUA LUIS PICOLO,,,,,,,,,SAO MIGUEL,11,8010320,11 2714-0100,-23.548,-46.636
95,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,LINS DE VASCONCELOS,,,,,,,,,CAMBUCI,356,1538900,,-23.548,-46.636
96,HOSPITAL SAO LUIZ JABAQUARA,RUA DAS PEROBAS,,,,,,,,,JABAQUARA,344,4321120,1130467797,-236.436.999,-466.428.989
97,HOSPITAL SANTA CATARINA,PAULISTA,,,,,,,,,BELA VISTA,200,1310000,,"-23,5699","-46,645"
98,HOSP STA VIRGINIA,CELSO GARCIA,,,,,,,,,BELEM,2294,3014000,11 27993171,-235.368.617,-46.590.177.100.000.000
99,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,RUA TAMARATACA,,,,,,,,,MOOCA,127,3119010,40859057,-235.645.215,-465.919.641
100,HOSPITAL SANCTA MAGGIORE,AVENIDA SANTO AMARO,,,,,,,,,VILA NOVA CONCEICAO,22,4506000,40859051,-235.418.703,-466.505.505
101,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,RUA DA FIGUEIRA,,,,,,,,,MOOCA,831,3102010,40859057,-23.552.317,-466.248.795
102,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,RUA MAESTRO CARDIM,,,,,,,,,BELA VISTA,1137,1323001,3269 3200,-23.560.331,-466.399.674
103,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38,AV OLAVO FONTOURA,,,,,,,,,SANTANA,1209,2012021,,-23.548,-46.636
104,HOSPITAL PRESIDENTE,AVENIDA NOVA CANTAREIRA,,,,,,,,,TUCURUVI,2398,2340000,22616611,-23.548,-46.636
105,HOSPITAL SAO LUIZ GONZAGA,MICHEL OUCHANA,,,,,,,,,JACANA,94,2276140,,-23.459.506.421.378.500,-4.658.220.291.137.690
106,HOSPITAL DA LUZ 92,RUA AZEVEDO MACEDO,,,,,,,,,VILA MARIANA,92,4013060,(11) 2117-6000,-235.806.193,-466.397.502
107,HOSP ALBERT SABIN,RUA BRIGADEIRO GAVIAO PEIXOTO,,,,,,,,,LAPA,123,5078000,(11)38384655,-23.525,-46.711
108,HOSPITAL DA CRIANCA,RUA DAS PEROBAS,,,,,,,,,JABAQUARA,295,4321120,(11)30467797,-236.430.001,-466.432.177
109,HOSP EDMUNDO VASCONCELOS,RUA BORGES LAGOA,,,,,,,,,VIL CLEMENTINO,1450,4038905,(11) 5080 4000,-23.548,-46.636
110,HOSPITAL NEXT BUTANTA,AV PROF FRANCISCO MORATO,,,,,,,,,BUTANTA,719,5513000,(11)30942300,-23.548,-46.636
111,HOSPITAL ITAQUERA,RUA JOSE OITICICA FILHO,,,,,,,,,ITAQUERA,123,8210510,,-235.366.839,-464.505.148
112,HOSPITAL LUZ SANTO AMARO,RUA BARAO DO RIO BRANCO,,,,,,,,,SANTO AMARO,555,4753001,11-21850500,-236.505.367,-46.714.262
113,MATERNIDADE SANTA JOANA,RUA DO PARAISO,,,,,,,,,PARAISO,432,4103000,115080-6000,-23.574.848,-4.663.865.068.312.900
114,HOSPITAL PAULISTA,RUA DR DIOGO DE FARIA,,,,,,,,,VILA CLEMENTINO,780,4037002,1150878779,-23.595.209.470.150.900,-466.444.006.562.233
115,HOSP RUBEM BERTA,RUBEM BERTA,,,,,,,,,INDIANOPOLIS,1100,4074000,,-23.548,-46.636
116,HOSPITAL PAULISTANO,RUA MARTINIANO DE CARVALHO,,,,,,,,,BELA VISTA,741,1321001,(11) 3016-1000,-235.606.849,-466.413.549
117,HOSPITAL SAMARITANO,RUA CONSELHEIRO BROTERO,,,,,,,,,HIGIENOPOLIS,1486,1232010,(11) 3821-5550,-2.353.907.145,-4.666.202.978.994.050
118,SAO LUIZ UNIDADE ITAIM,RUA DR ALCEU DE CAMPOS RODRIGUES,,,,,,,,,VILA NOVA CONCEICAO,95,4544000,(11)30401100,-2.359.068.825,-466.731.421.336.799
119,UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO,R VERGUEIRO,,,,,,,,,LIBERDADE,17,1504000,113549-0000 R.3077,-23.325,-46.381
120,HOSPITAL INDIANOPOLIS,AVENIDA JANDIRA,,,,,,,,,INDIANOPOLIS,1134,4080006,(11) 98529-2641,-23.612.354.233.060.000,-46.655.777.431.941.100
121,INSTITUTO DE REABILITACAO LUCY MONTORO,RUA JANDIATUBA,,,,,,,,,VILA ANDRADE,580,5716150,(11) 3905-8300,-23.548,-46.636
122,HOSPITAL GERAL DE PEDREIRA,RUA JOAO FRANCISCO DE MOURA,,,,,,,,,VILA CAMPO GRANDE,251,4455170,(11) 5613-5900,-236.807.463,-466.784.764
123,HOSPITAL MATERNIDADE INTERLAGOS,RUA LEONOR ALVIM,,,,,,,,,JD LEBLON,211,4802190,(11)56681232,-23.548,-46.636
124,CAISM PHILIPPE PINEL SAO PAULO,AV RAIMUNDO PEREIRA DE MAGALHAES,,,,,,,,,PIRITUBA,5214,2938000,(11) 3993-8227,-23.548,-46.636
125,CLINICA MEDICA NOSSA SENHORA LURDES,AVENIDA SANATORIO,,,,,,,,,JARDIM BRASIL,149,2238000,(11)69830556,-23.548,-46.636
126,HOSPITAL DO CORACAO,RUA DESEMBARGADOR ELISEU GUILHERME,,,,,,,,,PARAISO,123,4004030,(11)30536611,-23.548,-46.636
127,HOSPITAL E MATERNIDADE SAO RAFAEL SP,ECA DE QUEIROZ,,,,,,,,,VILA MARIANA,391,4011032,11 59085400,-23.579.652.080.106.100,-46.644.558.906.555.100
128,HOSPITAL SAINT PAUL,AVENIDA EUZEBIO MATOSO,,,,,,,,,PINHEIROS,178,5423000,(11)38136000,,
129,ASSOCIACAO NOSSA SENHORA DO PARI,RUA HANEMANN,,,,,,,,,CANINDE,234,3031040,33226500 / 33226501,-23.548,-46.636
130,HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I,CON XAVIER,,,,,,,,,V HELIOPOLIS,276,4231030,,-23.548,-46.636
131,HOSPITAL SAO CAMILO POMPEIA,AV POMPEIA,,,,,,,,,POMPEIA,1178,5022001,(11)36774503,-235.342.547,-4.668.809.670.000.000
132,HOSPITAL ISRAELITA ALBERT EINSTEIN,AV ALBERT EINSTEIN,,,,,,,,,MORUMBI,627,5652900,(11)37471233,-23.548,-46.636
133,HOSPITAL SBC,BLUMENAU,,,,,,,,,V LEOPOLDINA,320,5319020,011 21972400,-2.353.764.849.288.740,-4.672.830.820.083.610
134,HOSPITAL DIA CIDADE ADEMAR,RUA CORREGO AZUL,,,,,,,,,PEDREIRA,433,4463010,(11) 5555 8594,-236.927.985,-46.656.464
135,HOSPITAL SAO CAMILO SANTANA,DOUTOR LUIS LUSTOSA DA SILVA,,,,,,,,,SANTANA,33,2406040,11 36750035,-23.487.515.039.007.400,-46.626.913.246.953.800
136,HOSPITAL DIA UNO,POTIGUAR MEDEIROS,,,,,,,,,PINHEIROS,111,5422100,11 38199352,-235.675.336,-466.862.323
137,HOSPITAL SANTA PAULA,AVENIDA SANTO AMARO,,,,,,,,,VILA OLIMPIA,2468,4556100,11 30408008,-23.604.776,-46.675.130
138,HOSPITAL AMPARO MATERNAL,RUA LOEFGREEN,,,,,,,,,V CLEMENTINO,1901,4040032,(11)50898277,-23.548,-46.636
139,HOSPITAL LEFORTE,RUA TRES IRMAOS,,,,,,,,,CAXINGUI,121,5615190,1137234700,-23.548,-46.636
140,CERTA CENTRO DE REFERENCIA EM TRATAMENTOS AVANCADOS HOSP,AVENIDA BRIGADEIRO LUIS ANTONIO,,,,,,,,,JARDIM PAULISTA,4605,1401002,,-235.819.352,-466.679.511
141,HOSPITAL SANCTA MAGGIORE,RUA MITUTO MUZUMOTO,,,,,,,,,LIBERDADE,596,1513040,(11)40859550,-23.548,-46.636
142,HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO,AV MIGUEL ACHIOLE DA FONSECA,,,,,,,,,JARDIM SAO PAULO,135,8461110,(11) 2557-6972,-23.548,-46.636
143,HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO,RUA SIQUEIRA BUENO,,,,,,,,,AGUA RASA,1757,3173010,(11) 2603-5343,-23.548,-46.636
144,HOSPITAL SANTA ISABEL,R DR CESARIO MOTA JUNIOR,,,,,,,,,SANTA CECILIA,112,1221900,(11) 3245-5000,-235.427.214,-466.502.345
145,HOSPITAL MUNICIPAL DA BELA VISTA SANTA DULCE DOS POBRES,RUA ANTONIO CARLOS,,,,,,,,,CONSOLACAO,122,1309010,42102970,-234.757.076,-466.974.281
146,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35,AVENIDA OLAVO FONTOURA,,,,,,,,,SANTANA,1209,2012021,(11)973138957,-235.162.493,-4.664.516.943.846.530
147,HOSPITAL VILA NOVA STAR,DOUTOR ALCEU DE CAMPOS RODRIGUES,,,,,,,,,VILA NOVA CONCEICAO,126,4544000,(11) 3457-1455,-235.905.923,-466.742.545
148,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE PARIS,RUA GENERAL CHAGAS SANTOS,,,,,,,,,VILA DA SAUDE,314,4146050,1140859000,-2.361.825.525,-4.663.209.210.492.660
149,HOSP MUN BRIGADEIRO,AVENIDA BRIGADEIRO LUIS ANTONIO,,,,,,,,,JARDIM PAULISTA,4805,1401002,,-23.548,-46.636
150,HOSPITAL ESTADUAL COVID 19 METROPOLITANO SANTA CECILIA,PRACA MARECHAL DEODORO,,,,,,,,,SANTA CECILIA,151,1150011,(11) 3164-6287,-23.548,-46.636
151,HOSPITAL SAMARITANO PAULISTA,AVENIDA BRIGADEIRO LUIS ANTONIO,,,,,,,,,BELA VISTA,1895,1317002,11 42087287,-23.564.931.208.577.800,-4.664.691.388.607.020
152,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA,RUA ABILIO SOARES,,,,,,,,,PARAISO,1300,4005004,(11) 4148-9070,-23.548,-46.636
153,HOSPITAL MUNICIPAL BRASILANDIA,MICHIHISA MURATA,,,,,,,,,JARDIM MARISTELA,150,2806060,11 33864243,-234.757.076,-466.974.281
154,HUMANA MAGNA,R VERBO DIVINO,,,,,,,,,CHACARA SANTO ANTONI,1227,4719001,(11) 2397-0229,-236.326.261,-467.100.774
155,HOSPITAL SANTA CARMELA,POMPEIA,,,,,,,,,VILA POMPEIA,1326,5022001,11 32241200,-23.535.301.933.606.200,-4.668.888.996.526.150
156,HOSPITAL SANCTA MAGGIORE DUBAI,RUA FRANCISCO TRAMONTANO,,,,,,,,,REAL PARQUE,100,5686902,1140859057,-23.617.749,-467.051.417
